"codigo","nome"
1,"Constituição Federal"
2,"Decreto"
3,"Decreto Legislativo"
4,"Emenda"
5,"Lei Complementar"
6,"Lei Ordinária"
7,"Lei Delegada"
8,"Lei Orgânica"
9,"Medida Provisória"
10,"Portaria"
11,"Resolução"
12,"Parecer"
13,"Orientação Normativa"
99,"Outros"
